2025/01/05 11:50:17 Accepted connection from [::1]:61334
2025/01/05 11:50:17 Received 178 bytes: "GET / HTTP/1.1\r\nAccept: application/json, text/plain, */*\r\nUser-Agent: axios/1.7.9\r\nAccept-Encoding: gzip, compress, deflate, br\r\nHost: localhost:8080\r\nConnection: keep-alive\r\n\r\n"
2025/01/05 11:50:17 Parsing: Handling GET request
2025/01/05 11:50:32 Error reading from [::1]:61334: read tcp [::1]:8080->[::1]:61334: wsarecv: An existing connection was forcibly closed by the remote host.
2025/01/05 11:51:10 Starting server on [::]:8080
2025/01/05 11:51:11 Starting server on [::]:8080
2025/01/05 11:51:19 Starting server on [::]:8080
2025/01/05 11:51:33 Starting server on [::]:8080
2025/01/05 11:51:37 Starting server on [::]:8080
2025/01/05 11:51:38 Starting server on [::]:8080
2025/01/05 11:51:44 Starting server on [::]:8080
2025/01/05 11:51:44 Starting server on [::]:8080
2025/01/05 11:51:49 Starting server on [::]:8080
2025/01/05 11:51:54 Starting server on [::]:8080
2025/01/05 11:51:59 Starting server on [::]:8080
2025/01/05 11:52:05 Starting server on [::]:8080
2025/01/05 11:52:10 Starting server on [::]:8080
2025/01/05 11:52:23 Starting server on [::]:8080
2025/01/05 11:52:24 Starting server on [::]:8080
2025/01/05 11:52:30 Starting server on [::]:8080
2025/01/05 11:52:31 Starting server on [::]:8080
2025/01/05 11:57:03 Starting server on [::]:8080
